RECORDS/id,RECORDS/name,RECORDS/logo,RECORDS/deleted_at,RECORDS/created_at,RECORDS/updated_at
1,Nokia,,,7/9/2021 12:33:57,7/9/2021 12:33:57
2,alcatel,,,7/9/2021 12:34:38,7/9/2021 12:34:38
3,Benefon,,,7/9/2021 12:35:17,7/9/2021 12:35:17
4,Samsung,,,7/9/2021 12:35:31,7/9/2021 12:35:31
5,Mitsubishi,,,7/9/2021 12:35:53,7/9/2021 12:35:53
6,Motorola,,,7/9/2021 12:36:16,7/9/2021 12:36:16
7,Siemens,,,7/9/2021 12:37:02,7/9/2021 12:37:02
8,Ericsson,,,7/9/2021 12:37:30,7/9/2021 12:37:30
9,Panasonic,,,7/9/2021 12:38:32,7/9/2021 12:38:32
10,Sony,,,7/9/2021 12:38:47,7/9/2021 12:38:47
11,Bosch,,,7/9/2021 12:39:03,7/9/2021 12:39:03
12,Philips,,,7/9/2021 12:39:25,7/9/2021 12:39:25
13,NEC,,,7/9/2021 12:39:52,7/9/2021 12:39:52
14,Sagem,,,7/9/2021 12:40:02,7/9/2021 12:40:02
15,Maxon,,,7/9/2021 12:40:28,7/9/2021 12:40:28
16,Kyocera,,,7/9/2021 12:41:04,7/9/2021 12:41:04
17,Telit,,,7/9/2021 12:41:07,7/9/2021 12:41:07
18,Sendo,,,7/9/2021 12:42:27,7/9/2021 12:42:27
19,LG,,,7/9/2021 12:49:00,7/9/2021 12:49:00
20,Tel.Me.,,,7/9/2021 12:49:07,7/9/2021 12:49:07
21,Neonode,,,7/9/2021 12:49:19,7/9/2021 12:49:19
22,Sharp,,,8/9/2021 06:24:58,8/9/2021 06:24:58
23,Chea,,,8/9/2021 06:26:22,8/9/2021 06:26:22
24,Mitac,,,8/9/2021 06:34:34,8/9/2021 06:34:34
25,Sewon,,,8/9/2021 06:35:16,8/9/2021 06:35:16
26,Palm,,,8/9/2021 06:35:39,8/9/2021 06:35:39
27,Amoi,,,8/9/2021 06:36:08,8/9/2021 06:36:08
28,Innostream,,,8/9/2021 06:37:15,8/9/2021 06:37:15
29,O2,,,8/9/2021 06:38:36,8/9/2021 06:38:36
30,BenQ,,,8/9/2021 06:40:45,8/9/2021 06:40:45
31,Pantech,,,8/9/2021 06:41:20,8/9/2021 06:41:20
32,Haier,,,8/9/2021 06:44:08,8/9/2021 06:44:08
33,Bird,,,8/9/2021 06:48:37,8/9/2021 06:48:37
34,i-mate,,,8/9/2021 06:48:56,8/9/2021 06:48:56
35,BlackBerry,,,8/9/2021 06:50:51,8/9/2021 06:50:51
36,VK,,,8/9/2021 06:51:35,8/9/2021 06:51:35
37,Qtek,,,8/9/2021 06:57:25,8/9/2021 06:57:25
38,Vertu,,,8/9/2021 06:59:49,8/9/2021 06:59:49
39,Eten,,,8/9/2021 07:00:01,8/9/2021 07:00:01
40,HP,,,8/9/2021 07:03:27,8/9/2021 07:03:27
41,BenQ-Siemens,,,8/9/2021 07:07:56,8/9/2021 07:07:56
42,XCute,,,8/9/2021 07:10:54,8/9/2021 07:10:54
43,Toshiba,,,8/9/2021 07:12:58,8/9/2021 07:12:58
44,HTC,,,8/9/2021 07:18:40,8/9/2021 07:18:40
45,Asus,,,8/9/2021 07:21:42,8/9/2021 07:21:42
46,Gigabyte,,,8/9/2021 07:22:27,8/9/2021 07:22:27
47,Apple,,,8/9/2021 07:25:59,8/9/2021 07:25:59
48,Thuraya,,,8/9/2021 07:30:31,8/9/2021 07:30:31
